"order_id","product_id","product_category_name","product_weight_g","order_item_id","price","freight_value","order_date","order_status","customer_city","customer_state","seller_city","seller_state"
"efc62033f5121310c119db54930b84e4","a84d0660dbffebf352aefbf1a6b18d00","relogios_presentes","250.00",1,"29.00","16.79","2017-10-01","delivered","rondonopolis","MT","sao paulo","SP"
"8b050d41c0452652c3f1a6cd855005b1","c9996076c21558c4878c8d2fed12c45a","brinquedos","1867.00",1,"209.99","12.67","2017-10-01","delivered","guaruja","SP","santo andre","SP"
"5fa64c45b0cb986d05533f91c67c801e","57d2fa6882b789ad55e86074398826c4","perfumaria","1500.00",1,"89.90","14.36","2017-10-01","canceled","montes claros","MG","lagoa da prata","MG"
"9b09d38304dcaca0cd68c1e70247ca62","33202a8e7a645388c41ed714203d7131","alimentos","3350.00",1,"149.90","21.89","2017-10-01","delivered","recife","PE","caucaia","CE"
"65eba24f6b354696a553f0fe9719ac31","117d03b1d09e534e76b4f4ac9d908b49","papelaria","310.00",1,"169.00","13.52","2017-10-01","delivered","itapeva","SP","sao paulo","SP"
"db97652cf517d2cd03db63dec489ca62","6e79f7513adfd9ac67faa19f0d4ace53","informatica_acessorios","350.00",1,"19.90","7.78","2017-10-01","delivered","salto","SP","sao paulo","SP"
"e36361f00e1c093432050d4a52860c8f","2423252b2432f1803e4f29e0974c6cf7","brinquedos","1167.00",1,"139.90","18.23","2017-10-01","delivered","itanhomi","MG","volta redonda","SP"
"3389e2333066b728a245423a73f3f82c","4520766ec412348b8d4caa5e8a18c464","automotivo","50.00",1,"40.00","15.10","2017-10-01","delivered","fundao","ES","atibaia","SP"
"0b8315fe345e3639eb0a1a2d6e122d36","cf02395ed36c61d5ce31bdecce9767a3","esporte_lazer","750.00",1,"159.99","27.97","2017-10-01","delivered","rio branco","AC","itapecerica da serra","SP"
"19ba831bc3128a65996fed4c4c4823ee","bf66f5d110af02b50af37038afe90bd9","pet_shop","400.00",1,"25.00","2.81","2017-10-01","delivered","manoel ribas","PR","belo horizonte","MG"
"19ba831bc3128a65996fed4c4c4823ee","a4aa7c1427c31344e5f7cc3d839fe562","pet_shop","2200.00",2,"95.00","37.51","2017-10-01","delivered","manoel ribas","PR","belo horizonte","MG"
"ddb0d201c7d2c8ce0e966d98128d16e9","d5852e1fab9be489b5371a70adad7494","esporte_lazer","400.00",1,"33.00","8.72","2017-10-01","delivered","suzano","SP","santana de parnaiba","SP"
"76b25bee64215dc674a3715b71322c86","150c699262a053229e89213dc9c358d2","sinalizacao_e_seguranca","300.00",1,"116.00","15.56","2017-10-01","delivered","belo horizonte","MG","ribeirao preto","SP"
"379608a8412e127ea99752f0ae297408","0e10dd7cc1cc793351f0a259df91cdfa","livros_tecnicos","500.00",1,"35.00","15.10","2017-10-01","delivered","santa helena","PR","sao paulo","SP"
"9f80bbd59f6be97485be347f2da1f1b7","0b0172eb0fd18479d29c3bc122c058c2","eletronicos","150.00",1,"28.90","16.92","2017-10-01","delivered","campo largo","PR","belo horizonte","MG"
"2d58f989c5e9344556ea2a9526699249","504f07e36481e5e72043def3d874b92a","esporte_lazer","600.00",1,"89.99","16.39","2017-10-01","delivered","unai","MG","sao paulo","SP"
"6129370214b115f45a7b9b13e33c83d9","a8fe47ad6f852f93cc92c7b408687de3","esporte_lazer","400.00",1,"72.90","16.27","2017-10-01","delivered","porto alegre","RS","timbo","SC"
"7ed1f028ae9291bb2f0e80683526867f","5411e9269501a870cabf632f05655131","papelaria","6550.00",1,"99.00","17.94","2017-10-01","delivered","londrina","PR","campo limpo paulista","SP"
"17afedb7e5fad837f54bacf5c66c99f8","016f3b29107ed03252e477b08445cec4","automotivo","3500.00",1,"54.90","16.01","2017-10-01","delivered","caieiras","SP","ribeirao preto","SP"
"e9be4915bddc1b3959b291b443ed9fe3","54e5939fcd9ae70ad0f59f612d6d29bd","cool_stuff","550.00",1,"45.90","9.94","2017-10-01","delivered","mage","RJ","volta redonda","SP"
"34d7c2c94f8f4d4f2153adcb60b22145","6c3effec7c8ddba466d4f03f982c7aa3","consoles_games","100.00",1,"19.90","11.85","2017-10-01","delivered","birigui","SP","dracena","SP"
"9bd1b16f0da3ab4e8407a76b1d97be22","f89594c3583443e5e0d464e97284835d","cool_stuff","400.00",1,"74.90","15.27","2017-10-01","delivered","sao paulo","SP","cascavel","PR"
"43d8ac2e1b472f06ae2c8c4dea29fe7c","7c1bd920dbdf22470b68bde975dd3ccf","beleza_saude","200.00",1,"58.99","16.66","2017-10-01","delivered","contagem","MG","santo andre","SP"
"0c6a35b799f52f904a18f2810c4d1772","a22f707cfd269773138c3bf3a43f6180","moveis_decoracao","7000.00",1,"45.90","20.84","2017-10-01","delivered","serra","ES","porto ferreira","SP"
"1ebb46fa1c7a6bddbd0362271a096e89","95c1a931a9c24a30577e9af5a5c420ea","esporte_lazer","550.00",1,"36.00","8.72","2017-10-01","delivered","sao paulo","SP","sao paulo","SP"
"10f19649ff10ef887aee3d8d536f5da1","d881c75404b591b0912840f5401ae57a","relogios_presentes","220.00",1,"529.00","17.45","2017-10-01","delivered","americana","SP","colombo","PR"
"b1bbf1459cd5cbb3c23aad7656250ced","2b6d377fa9397de28c3d3e1684bb2c4d","automotivo","20450.00",1,"659.00","210.09","2017-10-01","delivered","alhandra","PB","videira","SC"
"85837cf1f1abc43e038a12c0a1d41ab7","ef8856db4e302ad33dc4d91e40f7593c","esporte_lazer","1350.00",1,"94.90","17.91","2017-10-01","delivered","rio de janeiro","RJ","borda da mata","MG"
"ef37b19ea1b715580fb6394e75311fb8","6a1a04054158fe995e1688d8f79605b2","esporte_lazer","1650.00",1,"59.90","13.44","2017-10-01","delivered","itapecerica da serra","SP","umuarama","PR"
"a057ba313e2ecf618126061eafcebc45","eed6978726f666f29319519d56058469","perfumaria","150.00",1,"44.90","12.48","2017-10-01","delivered","montes claros","MG","vicosa","MG"
"02c8bbea821df770f3665094a0ecfc1c","2ea92fab7565c4fe9f91a5e4e1756258","papelaria","10600.00",1,"79.00","13.57","2017-10-01","delivered","presidente prudente","SP","campo limpo paulista","SP"
"5ef51d70e6249c4a8c9fa866ebf3146a","ca5c923962558430573f83661dbe36d6","pet_shop","1250.00",1,"100.00","21.19","2017-10-01","delivered","igarapava","SP","belo horizonte","MG"
"9dc0a33bcfa9c6bfa29e7434029a8631","fc470dc1924bf42ce34d83187505dbe4","instrumentos_musicais","150.00",1,"22.90","8.27","2017-10-01","invoiced","maringa","PR","maringa","PR"
"793e8a915e5cab9e60a0315c67380b12","c6dd917a0be2a704582055949915ab32","cool_stuff","1200.00",1,"99.99","16.95","2017-10-01","delivered","neropolis","GO","sao paulo","SP"
"ece61a9988cb34a255aa01de896dc611","c725d1884dc9fac3d9a4fb790c25da21","moveis_decoracao","5800.00",1,"169.90","31.94","2017-10-01","delivered","bambui","MG","conchal","SP"
"cca182e4a32957030e469cf249c9695e","fe01b643060a6446e59f58e3021e66b3","perfumaria","1250.00",1,"143.00","38.55","2017-10-01","delivered","sao luis","MA","sinop","MT"
"596428e20f127315255e853fb6f851fe","1612209b0b37fbe80e1e8e1b7d19ca1d","informatica_acessorios","1600.00",1,"99.00","17.94","2017-10-01","delivered","porecatu","PR","porto alegre","RS"
"f73e50c9dd2f26840757a746b2c8cb15","a50acd33ba7a8da8e9db65094fa990a4","automotivo","4105.00",1,"117.30","17.53","2017-10-01","delivered","pirangi","SP","guarulhos","SP"
"b7790d729c085173e21678723b6e5381","55945cf4a4e6def88dcc8996a581608a","beleza_saude","275.00",1,"99.49","9.44","2017-10-01","delivered","sao paulo","SP","praia grande","SP"
