"product_category_name","seller_city","seller_state","transaction_count","total_revenue","avg_price_per_item","unique_products_sold"
"ferramentas_jardim","ilicinea","MG","425","54467.65","128.16","4"
"informatica_acessorios","recife","PE","363","54196.80","149.30","7"
"informatica_acessorios","itauna","MG","262","53257.52","203.27","16"
"relogios_presentes","diadema","SP","75","51286.05","683.81","17"
"informatica_acessorios","belo horizonte","MG","890","49553.24","55.68","147"
"eletronicos","sao paulo","SP","1410","48983.69","34.74","198"
"perfumaria","santo andre","SP","738","48863.43","66.21","37"
"relogios_presentes","nova friburgo","RJ","30","48778.90","1625.96","27"
"informatica_acessorios","ilicinea","MG","343","47214.51","137.65","1"
NULL,"guarulhos","SP","380","46401.57","122.11","21"
"esporte_lazer","rio de janeiro","RJ","281","44541.85","158.51","97"
"informatica_acessorios","porto alegre","RS","329","43058.24","130.88","56"
"esporte_lazer","jau","SP","398","42948.39","107.91","70"
"beleza_saude","petropolis","RJ","414","42024.30","101.51","55"
"automotivo","videira","SC","102","40487.50","396.94","26"
"instrumentos_musicais","sao bernardo do campo","SP","108","40276.78","372.93","57"
"cool_stuff","araraquara","SP","65","39158.50","602.44","2"
"moveis_escritorio","mogi guacu","SP","144","38743.64","269.05","86"
"relogios_presentes","pradopolis","SP","141","38591.13","273.70","32"
"eletrodomesticos_2","teresopolis","RJ","34","38341.00","1127.68","9"
"relogios_presentes","rio de janeiro","RJ","318","38162.45","120.01","16"
"esporte_lazer","guara","SP","259","37153.40","143.45","98"
"beleza_saude","rio de janeiro","RJ","325","36912.40","113.58","148"
"consoles_games","cascavel","PR","96","36614.69","381.40","16"
"beleza_saude","hortolandia","SP","338","36537.37","108.10","66"
"telefonia_fixa","sao paulo","SP","162","36521.56","225.44","61"
"eletroportateis","limeira","SP","18","36459.00","2025.50","9"
"beleza_saude","sao luis","MA","405","36408.95","89.90","44"
"consoles_games","sao paulo","SP","171","36225.99","211.85","75"
"ferramentas_jardim","lages","SC","68","35769.90","526.03","41"
"eletrodomesticos","praia grande","SP","500","35671.20","71.34","292"
"utilidades_domesticas","pedreira","SP","608","34986.24","57.54","182"
"automotivo","penapolis","SP","307","34642.68","112.84","227"
"pet_shop","sao paulo","SP","343","33361.36","97.26","122"
"agro_industria_e_comercio","curitiba","PR","84","31574.30","375.88","9"
"informatica_acessorios","jacarei","SP","263","31485.49","119.72","65"
"beleza_saude","salto","SP","118","31435.69","266.40","10"
"cama_mesa_banho","brusque","SC","352","30961.57","87.96","122"
"perfumaria","sao paulo","SP","447","30946.81","69.23","149"
"malas_acessorios","santa barbara d´oeste","SP","198","30476.80","153.92","7"
"beleza_saude","franca","SP","228","29938.75","131.31","53"
"instrumentos_musicais","londrina","PR","40","29484.00","737.10","9"
NULL,"sao paulo","SP","209","28608.97","136.89","100"
"relogios_presentes","campinas","SP","123","28521.47","231.88","19"
"pcs","guarulhos","SP","41","28198.92","687.78","9"
"esporte_lazer","itatiba","SP","93","27087.15","291.26","18"
"bebes","itatiba","SP","300","26969.78","89.90","63"
"casa_construcao","sao paulo","SP","183","26516.18","144.90","45"
"informatica_acessorios","ribeirao preto","SP","485","26476.52","54.59","117"
"casa_conforto","osasco","SP","95","26475.00","278.68","45"
"cool_stuff","montenegro","RS","132","26317.00","199.37","34"
"construcao_ferramentas_construcao","sao caetano do sul","SP","19","25901.00","1363.21","8"
"utilidades_domesticas","guarulhos","SP","336","25792.29","76.76","129"
"brinquedos","curitiba","PR","140","25716.35","183.69","32"
"construcao_ferramentas_construcao","sao paulo","SP","228","25531.57","111.98","74"
"casa_conforto","ibitinga","SP","250","25240.63","100.96","34"
"portateis_casa_forno_e_cafe","guarulhos","SP","17","25222.60","1483.68","4"
"cama_mesa_banho","joinville","SC","196","24925.90","127.17","16"
"automotivo","recife","PE","14","24916.00","1779.71","11"
"perfumaria","riberao preto","SP","139","24824.83","178.60","56"
"cool_stuff","rio de janeiro","RJ","82","24434.93","297.99","33"
"utilidades_domesticas","baependi","MG","182","24269.80","133.35","23"
"bebes","belo horizonte","MG","166","24189.18","145.72","31"
"utilidades_domesticas","limeira","SP","150","23785.00","158.57","28"
"informatica_acessorios","sarandi","PR","167","23358.87","139.87","40"
"eletrodomesticos_2","sao paulo","SP","40","23131.41","578.29","22"
"eletroportateis","sao paulo","SP","173","22587.39","130.56","60"
"beleza_saude","ribeirao preto","SP","267","22474.57","84.17","98"
"esporte_lazer","maringa","PR","152","22452.20","147.71","22"
"instrumentos_musicais","braganca paulista","SP","31","22241.63","717.47","15"
"eletroportateis","guarulhos","SP","24","22192.90","924.70","8"
"ferramentas_jardim","cariacica","ES","212","22154.30","104.50","6"
"esporte_lazer","praia grande","SP","320","21843.62","68.26","54"
"telefonia","franca","SP","111","21840.19","196.76","31"
"esporte_lazer","pirituba","SP","175","21712.90","124.07","79"
"construcao_ferramentas_iluminacao","sao paulo","SP","157","21626.55","137.75","29"
"malas_acessorios","borda da mata","MG","272","20991.57","77.17","80"
"malas_acessorios","sao paulo","SP","186","20934.37","112.55","71"
"moveis_decoracao","uba","MG","156","20745.00","132.98","54"
"automotivo","atibaia","SP","355","20300.05","57.18","81"
"relogios_presentes","colombo","PR","77","19998.80","259.72","70"
"utilidades_domesticas","curitiba","PR","170","19720.06","116.00","71"
"moveis_decoracao","santo andre","SP","234","19328.52","82.60","89"
"beleza_saude","formiga","MG","60","19025.36","317.09","23"
"automotivo","cajamar","SP","154","18959.60","123.11","6"
"brinquedos","campo limpo paulista","SP","292","18930.40","64.83","43"
"instrumentos_musicais","sao paulo","SP","209","18710.16","89.52","59"
"audio","ribeirao preto","SP","48","18584.55","387.18","5"
"moveis_sala","monte siao","MG","89","18379.71","206.51","29"
"cool_stuff","cachoeirinha","RS","55","18312.80","332.96","4"
"pet_shop","piracicaba","SP","139","18263.74","131.39","78"
"automotivo","osasco","SP","105","18262.54","173.93","47"
"relogios_presentes","cotia","SP","57","18215.90","319.58","27"
"perfumaria","umuarama","PR","55","17765.80","323.01","19"
"utilidades_domesticas","joinville","SC","81","17601.81","217.31","9"
"livros_interesse_geral","garca","SP","86","17591.40","204.55","22"
"perfumaria","videira","SC","53","17570.76","331.52","13"
"beleza_saude","viamao","RS","74","17327.68","234.16","23"
"beleza_saude","londrina","PR","137","17188.73","125.47","27"
"bebes","limeira","SP","217","16785.20","77.35","30"
"esporte_lazer","cascavel","PR","120","16196.29","134.97","28"
"utilidades_domesticas","sao jose do rio preto","SP","116","16171.24","139.41","42"
"utilidades_domesticas","uberlandia","MG","107","16016.19","149.68","34"
"relogios_presentes","blumenau","SC","206","15785.16","76.63","68"
"eletroportateis","caxias do sul","RS","27","15749.20","583.30","9"
"relogios_presentes","guarulhos","SP","54","15692.74","290.61","21"
"moveis_decoracao","rolandia","PR","79","15643.92","198.02","21"
"pet_shop","belo horizonte","MG","168","15622.66","92.99","26"
"brinquedos","macae","RJ","23","15547.70","675.99","5"
"moveis_decoracao","cascavel","PR","155","15417.59","99.47","124"
"beleza_saude","brasilia","DF","139","15168.97","109.13","34"
"malas_acessorios","curitiba","PR","62","15147.35","244.31","22"
"bebes","rio de janeiro","RJ","71","14954.75","210.63","49"
"esporte_lazer","santa barbara d'oeste","SP","177","14943.80","84.43","37"
"telefonia","salvador","BA","67","14754.33","220.21","14"
"esporte_lazer","suzano","SP","14","14748.87","1053.49","10"
"portateis_casa_forno_e_cafe","vicosa","MG","19","14590.00","767.89","1"
"malas_acessorios","belo horizonte","MG","131","14531.90","110.93","41"
"cama_mesa_banho","santo andre","SP","189","14509.07","76.77","106"
"relogios_presentes","mamanguape","PB","16","14368.61","898.04","16"
"pet_shop","rio de janeiro","RJ","129","14309.69","110.93","32"
"pet_shop","patos de minas","MG","155","14273.30","92.09","33"
"beleza_saude","fortaleza","CE","30","14230.00","474.33","7"
"perfumaria","sao goncalo","RJ","120","14156.50","117.97","11"
"informatica_acessorios","brasilia","DF","145","14143.97","97.54","87"
"casa_construcao","salto","SP","177","14069.40","79.49","70"
"construcao_ferramentas_seguranca","marilia","SP","56","13954.85","249.19","33"
"relogios_presentes","formiga","MG","67","13950.20","208.21","40"
"brinquedos","laranjal paulista","SP","200","13858.84","69.29","38"
"esporte_lazer","votuporanga","SP","94","13778.40","146.58","28"
"utilidades_domesticas","itajai","SC","47","13685.71","291.19","1"
"bebes","tupa","SP","79","13602.73","172.19","5"
"utilidades_domesticas","jundiai","SP","213","13561.73","63.67","11"
"construcao_ferramentas_construcao","teixeira soares","PR","78","13533.65","173.51","39"
"brinquedos","araguari","MG","85","13444.29","158.17","24"
"informatica_acessorios","congonhas","MG","41","13422.24","327.37","4"
"beleza_saude","piracicaba","SP","272","13417.17","49.33","11"
"consoles_games","araguari","MG","164","13398.21","81.70","43"
"beleza_saude","guarulhos","SP","185","13221.54","71.47","46"
"livros_tecnicos","sao paulo","SP","194","13170.55","67.89","71"
"ferramentas_jardim","curitiba","PR","85","12915.65","151.95","43"
"bebes","curitiba","PR","136","12886.60","94.75","47"
"cama_mesa_banho","votorantim","SP","184","12803.64","69.59","61"
"eletroportateis","sao caetano do sul","SP","15","12788.00","852.53","1"
"automotivo","itaquaquecetuba","SP","90","12783.11","142.03","61"
"automotivo","divinopolis","MG","35","12732.60","363.79","20"
"esporte_lazer","ribeirao pires","SP","126","12671.92","100.57","31"
"perfumaria","belo horizonte","SP","116","12632.75","108.90","21"
"fashion_bolsas_e_acessorios","sao jose do rio preto","SP","69","12630.00","183.04","24"
"telefonia","osasco","SP","35","12574.00","359.26","15"
"automotivo","bauru","SP","74","12550.40","169.60","26"
NULL,"rio de janeiro","RJ","68","12490.57","183.68","21"
"bebes","indaiatuba","SP","16","12489.97","780.62","14"
"relogios_presentes","registro","SP","44","12418.65","282.24","43"
"industria_comercio_e_negocios","guarulhos","SP","139","12281.99","88.36","14"
"relogios_presentes","navegantes","SC","52","12178.09","234.19","41"
"brinquedos","sorocaba","SP","89","12172.93","136.77","28"
"cool_stuff","sorocaba","SP","11","12151.74","1104.70","8"
"telefonia","niteroi","RJ","24","11982.83","499.28","5"
"pet_shop","campinas","SP","77","11947.00","155.16","30"
"bebes","sao jose do rio preto","SP","102","11875.31","116.42","26"
"construcao_ferramentas_construcao","uberlandia","MG","41","11851.00","289.05","37"
"eletrodomesticos","teresopolis","RJ","12","11828.73","985.73","2"
"cama_mesa_banho","caxias do sul","RS","23","11792.05","512.70","18"
"esporte_lazer","umuarama","PR","126","11696.50","92.83","28"
"esporte_lazer","goiania","GO","101","11593.63","114.79","37"
"bebes","arapongas","PR","99","11414.89","115.30","26"
"moveis_sala","s jose do rio preto","SP","106","11341.46","106.99","8"
"construcao_ferramentas_construcao","guarulhos","SP","38","11224.61","295.38","12"
"informatica_acessorios","riberao preto","SP","41","11183.33","272.76","20"
"utilidades_domesticas","salto","SP","232","11153.30","48.07","41"
NULL,"santana de parnaiba","SP","84","11106.83","132.22","5"
"eletronicos","maringa","PR","540","11102.65","20.56","57"
"ferramentas_jardim","piracicaba","SP","46","11062.28","240.48","22"
"esporte_lazer","sombrio","SC","12","11062.00","921.83","2"
"brinquedos","joinville","SC","111","11005.01","99.14","41"
"utilidades_domesticas","rio de janeiro","RJ","145","10965.12","75.62","58"
"cama_mesa_banho","foz do iguacu","PR","86","10961.30","127.46","53"
"moveis_sala","uba","MG","26","10917.32","419.90","18"
"artes","salto","SP","109","10903.70","100.03","2"
"cama_mesa_banho","tres coracoes","MG","140","10850.49","77.50","55"
"moveis_decoracao","itaquaquecetuba","SP","97","10840.76","111.76","43"
"automotivo","uberaba","MG","9","10799.10","1199.90","1"
"automotivo","curitiba","PR","75","10780.66","143.74","42"
"agro_industria_e_comercio","sao paulo","SP","46","10758.26","233.88","10"
"moveis_decoracao","porto ferreira","SP","193","10750.15","55.70","49"
"esporte_lazer","joinville","SC","100","10696.46","106.96","33"
"telefonia","presidente prudente","SP","16","10692.98","668.31","5"
"moveis_decoracao","guarulhos","SP","173","10628.28","61.44","87"
"utilidades_domesticas","caxias do sul","RS","67","10464.86","156.19","33"
"esporte_lazer","campo largo","PR","58","10454.20","180.24","29"
NULL,"curitiba","PR","33","10395.55","315.02","22"
"cool_stuff","londrina","PR","19","10393.90","547.05","7"
"brinquedos","canoas","RS","83","10326.90","124.42","34"
"telefonia","jacarei","SP","116","10316.95","88.94","49"
"informatica_acessorios","guanambi","BA","18","10262.00","570.11","6"
"moveis_decoracao","campinas","SP","164","10199.20","62.19","65"
"cama_mesa_banho","guarulhos","SP","131","10197.01","77.84","20"
"esporte_lazer","pinhais","PR","90","10132.69","112.59","27"
"eletrodomesticos_2","vicosa","MG","13","10075.00","775.00","1"
"pet_shop","curitiba","PR","56","10055.12","179.56","22"
"relogios_presentes","queimados","RJ","61","10043.44","164.65","20"
"beleza_saude","praia grande","SP","177","10005.79","56.53","31"
"construcao_ferramentas_iluminacao","salto","SP","87","9952.80","114.40","15"
"fashion_bolsas_e_acessorios","sete lagoas","MG","246","9919.00","40.32","139"
"utilidades_domesticas","sao ludgero","SC","61","9881.11","161.99","3"
"telefonia","campinas","SP","280","9835.83","35.13","45"
"brinquedos","sao jose do rio preto","SP","19","9831.93","517.47","8"
"cama_mesa_banho","santos","SP","13","9829.32","756.10","7"
"cool_stuff","macae","RJ","16","9798.40","612.40","2"
"beleza_saude","ipatinga","MG","37","9784.50","264.45","12"
"climatizacao","rio de janeiro","RJ","16","9749.78","609.36","7"
"cool_stuff","guariba","SP","54","9699.50","179.62","3"
"moveis_cozinha_area_de_servico_jantar_e_jardim","sao paulo","SP","112","9665.68","86.30","28"
"beleza_saude","betim","MG","83","9660.09","116.39","21"
"ferramentas_jardim","paincandu","PR","8","9625.50","1203.19","7"
"utilidades_domesticas","araguari","MG","206","9620.06","46.70","74"
"papelaria","belo horizonte","MG","114","9589.84","84.12","46"
"ferramentas_jardim","sao jose dos pinhais","PR","74","9556.86","129.15","18"
"relogios_presentes","cascavel","PR","36","9433.33","262.04","25"
"fashion_bolsas_e_acessorios","gama","DF","33","9385.70","284.42","11"
"audio","sao paulo","SP","181","9307.99","51.43","22"
"fashion_calcados","franca","SP","52","9294.68","178.74","21"
"cama_mesa_banho","belo horizonte","MG","91","9219.00","101.31","34"
"fashion_calcados","penapolis","SP","102","9186.28","90.06","79"
"utilidades_domesticas","porto alegre","RS","59","9128.08","154.71","14"
"informatica_acessorios","sao goncalo","RJ","66","9101.00","137.89","6"
"instrumentos_musicais","videira","SC","20","9099.36","454.97","6"
"cool_stuff","santo angelo","RS","32","9057.48","283.05","11"
"audio","guariba","SP","56","9031.30","161.27","3"
"beleza_saude","braganca paulista","SP","39","9006.00","230.92","14"
"cool_stuff","sao bernardo do campo","SP","12","8972.95","747.75","4"
"malas_acessorios","mogi guacu","SP","28","8914.01","318.36","22"
"construcao_ferramentas_seguranca","porto alegre","RS","29","8901.28","306.94","17"
"utilidades_domesticas","lages","SC","38","8884.00","233.79","11"
"automotivo","rio de janeiro","RJ","60","8855.40","147.59","21"
"bebes","ibitinga","SP","148","8848.69","59.79","53"
"cool_stuff","volta redonda","SP","127","8839.48","69.60","19"
"eletronicos","osasco","SP","43","8795.00","204.53","8"
"informatica_acessorios","cascavel","PR","47","8778.90","186.79","8"
"cool_stuff","santa rita do sapucai","MG","63","8758.80","139.03","2"
"esporte_lazer","sao joaquim da barra","SP","66","8711.40","131.99","17"
"ferramentas_jardim","campinas","SP","129","8693.42","67.39","72"
"beleza_saude","lencois paulista","SP","99","8616.92","87.04","48"
"beleza_saude","sao sebastiao","SP","48","8599.00","179.15","6"
"ferramentas_jardim","castro","PR","7","8585.00","1226.43","4"
"moveis_decoracao","sao bernardo do campo","SP","78","8530.02","109.36","23"
"beleza_saude","niteroi","RJ","8","8522.00","1065.25","6"
"moveis_decoracao","monte siao","MG","142","8518.21","59.99","34"
"eletrodomesticos","sao paulo","SP","75","8324.98","111.00","32"
"casa_construcao","sao bernardo do campo","SP","20","8246.45","412.32","8"
"brinquedos","franca","SP","17","8227.39","483.96","6"
"eletroportateis","jaboticabal","SP","76","8196.79","107.85","29"
"informatica_acessorios","mateus leme","MG","23","8171.25","355.27","15"
"cool_stuff","brasilia","DF","88","8140.33","92.50","32"
"utilidades_domesticas","goiania","GO","52","8135.00","156.44","8"
"consoles_games","atibaia","SP","25","8075.99","323.04","2"
"automotivo","londrina","PR","24","8066.87","336.12","14"
"informatica_acessorios","campinas","SP","74","8004.70","108.17","6"
"relogios_presentes","sao goncalo","RJ","121","7994.74","66.07","5"
"automotivo","ribeirao preto","SP","39","7981.74","204.66","33"
"beleza_saude","diadema","SP","53","7963.40","150.25","11"
"utilidades_domesticas","louveira","SP","114","7946.56","69.71","55"
"esporte_lazer","salto","SP","93","7930.70","85.28","31"
"cama_mesa_banho","poa","SP","156","7915.74","50.74","20"
"relogios_presentes","curitiba","PR","45","7891.80","175.37","38"
"esporte_lazer","londrina","PR","64","7871.36","122.99","40"
"moveis_decoracao","presidente prudente","SP","107","7845.64","73.32","11"
"climatizacao","marilia","SP","37","7841.27","211.93","15"
"bebidas","praia grande","SP","183","7824.39","42.76","23"
"construcao_ferramentas_jardim","pompeia","SP","26","7790.00","299.62","5"
"perfumaria","sinop","MT","55","7784.50","141.54","8"
"esporte_lazer","canoinhas","SC","156","7777.00","49.85","19"
"ferramentas_jardim","florianopolis","SC","14","7688.00","549.14","6"
"eletroportateis","brusque","SC","9","7687.40","854.16","5"
"agro_industria_e_comercio","porto alegre","RS","11","7648.69","695.34","5"
"brinquedos","maua","SP","88","7647.30","86.90","54"
"ferramentas_jardim","santo andre","SP","57","7632.74","133.91","11"
"esporte_lazer","california","PR","6","7630.00","1271.67","5"
"construcao_ferramentas_ferramentas","sao paulo","SP","30","7617.79","253.93","10"
"utilidades_domesticas","santo andre","SP","84","7562.58","90.03","27"
"eletronicos","jacarei","SP","92","7545.44","82.02","26"
"eletroportateis","santo angelo","RS","18","7525.34","418.07","3"
"bebes","apucarana","PR","11","7510.00","682.73","11"
"relogios_presentes","belo horizonte","MG","31","7492.35","241.69","22"
"instrumentos_musicais","jaragua do sul","SC","43","7489.51","174.17","25"
"moveis_escritorio","nova friburgo","RJ","18","7482.00","415.67","4"
"utilidades_domesticas","sorocaba","SP","13","7472.12","574.78","8"
"cool_stuff","ribeirao preto","SP","29","7471.16","257.63","16"
"esporte_lazer","arraial d'ajuda (porto seguro)","BA","29","7456.87","257.13","26"
"instrumentos_musicais","rio de janeiro","RJ","12","7354.14","612.85","8"
"telefonia","curitiba","PR","54","7264.33","134.52","19"
"telefonia","umuarama","PR","10","7196.00","719.60","6"
"informatica_acessorios","ilheus","BA","19","7185.21","378.17","12"
"esporte_lazer","santo andre","SP","75","7157.73","95.44","37"
"moveis_cozinha_area_de_servico_jantar_e_jardim","caxias do sul","RS","21","7128.00","339.43","3"
"consoles_games","riberao preto","SP","33","7017.24","212.64","11"
"telefonia_fixa","serrana","SP","11","6994.89","635.90","9"
"eletrodomesticos","louveira","SP","10","6990.00","699.00","1"
"automotivo","guaruja","SP","38","6988.43","183.91","26"
"utilidades_domesticas","divinopolis","MG","60","6949.38","115.82","33"
"esporte_lazer","rio do sul","SC","128","6939.58","54.22","17"
"informatica_acessorios","parai","RS","31","6911.71","222.96","13"
"bebes","sao jose","SC","103","6866.10","66.66","19"
"beleza_saude","santos","SP","63","6830.14","108.41","27"
"ferramentas_jardim","caxias do sul","RS","5","6790.00","1358.00","3"
"utilidades_domesticas","vila velha","ES","5","6787.50","1357.50","1"
"utilidades_domesticas","amparo","SP","48","6762.80","140.89","21"
"utilidades_domesticas","sao bernardo do campo","SP","121","6759.97","55.87","60"
"cool_stuff","maringa","PR","49","6720.76","137.16","2"
"esporte_lazer","sao bernardo do campo","SP","113","6705.68","59.34","27"
"beleza_saude","campinas","SP","15","6704.25","446.95","10"
"beleza_saude","assis","SP","66","6675.49","101.14","31"
"pet_shop","icara","SC","60","6674.00","111.23","35"
"livros_interesse_geral","rio do sul","SC","58","6654.99","114.74","1"
"cool_stuff","belo horizonte","MG","68","6653.36","97.84","15"
"esporte_lazer","porto alegre","RS","40","6597.60","164.94","17"
"ferramentas_jardim","araraquara","SP","7","6569.00","938.43","3"
"bebes","mirandopolis","SP","42","6535.80","155.61","15"
"cama_mesa_banho","presidente prudente","SP","87","6534.00","75.10","45"
"esporte_lazer","campinas","SP","40","6486.78","162.17","18"
"informatica_acessorios","jussara","PR","28","6464.10","230.86","19"
"moveis_decoracao","belo horizonte","MG","40","6439.56","160.99","18"
"livros_interesse_geral","mage","RJ","51","6394.09","125.37","17"
"esporte_lazer","foz do iguacu","PR","45","6389.14","141.98","28"
"informatica_acessorios","vendas@creditparts.com.br","PR","38","6381.78","167.94","10"
"utilidades_domesticas","maua","SP","116","6311.48","54.41","32"
"beleza_saude","jacarei","SP","64","6291.00","98.30","17"
"agro_industria_e_comercio","jundiai","SP","5","6245.00","1249.00","3"
"cama_mesa_banho","bariri","SP","25","6235.50","249.42","15"
"cama_mesa_banho","mogi das cruzes","SP","58","6212.75","107.12","19"
"automotivo","juiz de fora","MG","9","6210.20","690.02","7"
"brinquedos","brasilia","DF","34","6204.29","182.48","22"
"brinquedos","mogi das cruzes","SP","57","6190.60","108.61","16"
"automotivo","santo andre","SP","35","6187.74","176.79","23"
"eletronicos","cajamar","SP","48","6148.49","128.09","5"
"perfumaria","apucarana","PR","35","6133.97","175.26","20"
"casa_construcao","piracicaba","SP","28","6096.60","217.74","15"
"papelaria","contagem","MG","60","6054.20","100.90","32"
"automotivo","itapecerica da serra","SP","66","6020.97","91.23","6"
"automotivo","bebedouro","SP","135","6018.97","44.58","71"
"esporte_lazer","claudio","MG","122","6010.66","49.27","57"
"malas_acessorios","carazinho","RS","34","5986.60","176.08","15"
"eletroportateis","santo andre","SP","5","5974.00","1194.80","2"
"esporte_lazer","botucatu","SP","41","5958.00","145.32","22"
"telefonia","barueri","SP","5","5875.59","1175.12","5"
"ferramentas_jardim","sao bernardo do campo","SP","32","5862.20","183.19","11"
"moveis_decoracao","salto","SP","51","5837.33","114.46","17"
"construcao_ferramentas_construcao","jacarei","SP","83","5836.45","70.32","41"
"consoles_games","dracena","SP","239","5800.70","24.27","2"
"moveis_decoracao","natal","RN","16","5794.00","362.13","3"
"bebes","novo horizonte","SP","31","5788.52","186.73","18"
"informatica_acessorios","santos","SP","109","5786.56","53.09","30"
"papelaria","borda da mata","MG","89","5772.56","64.86","17"
"moveis_decoracao","fernandopolis","SP","97","5760.17","59.38","21"
"bebidas","sao paulo","SP","41","5750.18","140.25","16"
"beleza_saude","sao goncalo","RJ","65","5726.88","88.11","26"
"automotivo","ponte nova","MG","43","5725.70","133.16","28"
"agro_industria_e_comercio","americana","SP","11","5714.49","519.50","10"
"instrumentos_musicais","itajai","SC","17","5705.84","335.64","12"
"climatizacao","ribeirao preto","SP","38","5692.80","149.81","11"
"pet_shop","campo mourao","PR","12","5683.90","473.66","3"
"esporte_lazer","borda da mata","MG","54","5678.15","105.15","3"
"audio","pradopolis","SP","10","5677.94","567.79","3"
"consoles_games","jussara","PR","54","5666.60","104.94","27"
"beleza_saude","navegantes","SC","56","5661.66","101.10","15"
"construcao_ferramentas_construcao","mogi das cruzes","SP","6","5644.86","940.81","2"
"fashion_bolsas_e_acessorios","limeira","SP","175","5635.38","32.20","117"
"cool_stuff","itatiba","SP","29","5621.88","193.86","12"
"eletronicos","itapevi","SP","36","5619.05","156.08","13"
"ferramentas_jardim","rio de janeiro","RJ","38","5553.14","146.14","22"
"eletrodomesticos_2","blumenau","SC","30","5540.80","184.69","7"
"beleza_saude","indaiatuba","SP","115","5532.84","48.11","11"
"moveis_escritorio","curitiba","PR","26","5526.00","212.54","5"
"brinquedos","jacarei","SP","40","5519.07","137.98","20"
"pet_shop","santos","SP","64","5517.09","86.20","39"
"perfumaria","sao carlos","SP","17","5507.34","323.96","14"
"instrumentos_musicais","luiz alves","SC","5","5499.70","1099.94","4"
"ferramentas_jardim","brasilia","DF","26","5493.41","211.29","6"
"beleza_saude","belo horizonte","MG","122","5473.09","44.86","53"
"utilidades_domesticas","belo horizonte","MG","102","5410.65","53.05","57"
"automotivo","cosmopolis","SP","16","5409.00","338.06","7"
"malas_acessorios","serra negra","SP","22","5408.00","245.82","8"
"moveis_decoracao","limeira","SP","88","5404.88","61.42","40"
"eletroportateis","curitiba","PR","27","5378.00","199.19","2"
"instrumentos_musicais","florianopolis","SC","42","5363.01","127.69","14"
"construcao_ferramentas_jardim","sao paulo","SP","53","5310.07","100.19","12"
"beleza_saude","sao jose dos campos","SP","84","5290.84","62.99","14"
"automotivo","sao paluo","SP","9","5279.91","586.66","9"
"sinalizacao_e_seguranca","sao paulo","SP","45","5277.89","117.29","18"
"brinquedos","salto","SP","64","5276.65","82.45","20"
"fashion_bolsas_e_acessorios","rio de janeiro","RJ","36","5260.50","146.13","20"
"cool_stuff","congonhal","MG","22","5245.06","238.41","7"
"cama_mesa_banho","osasco","SP","70","5222.90","74.61","37"
